Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.12,Scholastic Press,Hardcover,390,2010,2010,,2023/09/22,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.35,Scholastic Press,Hardcover,391,2009,2009,,2023/09/22,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.35,Scholastic Press,Hardcover,374,2008,2008,,2023/09/22,,,read,,,,1,0
94319,Ark Angel (Alex Rider #6),Anthony Horowitz,"Horowitz, Anthony",,"=""0142407380""","=""9780142407387""",0,4.12,Speak,Paperback,352,2007,2005,,2023/09/22,,,read,,,,1,0
1821571,Snakehead (Alex Rider #7),Anthony Horowitz,"Horowitz, Anthony",,"=""1406309354""","=""9781406309355""",0,4.15,Walker Books,Hardcover,416,2007,2007,,2023/09/22,,,read,,,,1,0
542414,Scorpia (Alex Rider #5),Anthony Horowitz,"Horowitz, Anthony",,"=""0142405787""","=""9780142405789""",0,4.19,Puffin Books,Paperback,388,2006,2004,,2023/09/22,,,read,,,,1,0
175004,"Eagle Strike (Alex Rider, #4)",Anthony Horowitz,"Horowitz, Anthony",,"=""0142406139""","=""9780142406137""",0,4.12,Speak,Paperback,352,2006,2003,,2023/09/22,,,read,,,,1,0
103983,Skeleton Key (Alex Rider #3),Anthony Horowitz,"Horowitz, Anthony",,"=""0142406147""","=""9780142406144""",0,4.07,Philomel Books,Paperback,327,2006,2002,,2023/09/22,,,read,,,,1,0
224500,Point Blank (Alex Rider #2),Anthony Horowitz,"Horowitz, Anthony",,"=""0142406120""","=""9780142406120""",0,4.11,Penguin Puffin,Paperback,274,2001,2001,,2023/09/22,,,read,,,,1,0
13459677,"Zwergenblut (Zwergenfluch, #3)",Frank Rehfeld,"Rehfeld, Frank",,"=""3442266165""","=""9783442266166""",0,3.83,Blanvalet,Paperback,380,2010,2010,,2023/09/22,,,read,,,,1,0
13459659,"Zwergenbann (Zwergenfluch, #2)",Frank Rehfeld,"Rehfeld, Frank",,"=""3442266157""","=""9783442266159""",0,4.03,Blanvalet,Paperback,480,2009,2009,,2023/09/22,,,read,,,,1,0
3884911,"Zwergenfluch (Zwergenfluch, #1)",Frank Rehfeld,"Rehfeld, Frank",,"=""3442266041""","=""9783442266043""",0,3.91,Blanvalet,Paperback,479,2009,2009,,2023/09/22,,,read,,,,1,0
136782,Stormbreaker (Alex Rider #1),Anthony Horowitz,"Horowitz, Anthony",,"=""014240165X""","=""9780142401651""",0,3.98,Penguin Books,Paperback,256,2004,2000,,2023/09/22,,,read,,,,1,0
7896640,"Der Befreier (Blutorks, #3)",Bernd Frenz,"Frenz, Bernd",,"=""3442266106""","=""9783442266104""",0,3.68,Blanvalet,Paperback,399,2010,2010,,2023/09/22,,,read,,,,1,0
7896642,"Der Sklave (Blutorks, #2)",Bernd Frenz,"Frenz, Bernd",,"=""3442266092""","=""9783442266098""",0,3.83,Blanvalet,Paperback,366,2010,2010,,2023/09/22,,,read,,,,1,0
7896641,"Der Krieger (Blutorks, #1)",Bernd Frenz,"Frenz, Bernd",,"=""3442266084""","=""9783442266081""",0,3.96,Blanvalet,Paperback,415,2009,2009,,2023/09/22,,,read,,,,1,0
1303861,"Die Meisterin (Die Gilde der Schwarzen Magier, #3)",Trudi Canavan,"Canavan, Trudi",,"=""3442243963""","=""9783442243969""",0,4.14,Blanvalet,Paperback,704,2006,2002,,2023/09/22,,,read,,,,1,0
1303860,"Die Novizin (Die Gilde der Schwarzen Magier, #2)",Trudi Canavan,"Canavan, Trudi",,"=""3442243955""","=""9783442243952""",0,4.08,Blanvalet,Paperback,605,2006,2002,,2023/09/22,,,read,,,,1,0
1303862,"Die Rebellin (Die Gilde der Schwarzen Magier, #1)",Trudi Canavan,"Canavan, Trudi",,"=""3442243947""","=""9783442243945""",0,3.95,Blanvalet,Paperback,543,2006,2001,,2023/09/22,,,read,,,,1,0
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,"=""0316206849""","=""9780316206846""",0,3.89,Mulholland Books,Hardcover,456,2013,2013,,2023/09/22,,,read,,,,1,0
2931748,The Shadowmagic Trilogy,John Lenahan,"Lenahan, John",,"=""0007569904""","=""9780007569908""",0,4.43,The Friday Project,Paperback,864,2014,2014,,2023/09/22,,,read,,,,1,0
59264,"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,"Stroud, Jonathan",,"=""0786818611""","=""9780786818617""",0,4.28,Hyperion/Miramax,Hardcover,512,2005,2005,,2023/09/22,,,read,,,,1,0
