Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39338454,"The Bride Test (The Kiss Quotient, #2)",Helen  Hoang,"Hoang, Helen",,"=""0451490827""","=""9780451490827""",0,3.81,Berkley,Paperback,320,2019,2019,,2025/12/06,export,export (#1),read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2025/01/03,,,read,,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",0,4.46,Henry Holt & Company,Hardcover,480,2015,2015,2024/07/20,2024/04/04,,,read,,,,1,0
29226553,"Dark Age (Red Rising Saga, #5)",Pierce Brown,"Brown, Pierce",,"=""0425285952""","=""9780425285954""",0,4.50,Del Rey,ebook,704,2019,2019,,2024/04/04,,,read,,,,1,0
29227774,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,"Brown, Pierce",,"=""1473646804""","=""9781473646803""",5,4.77,Hodder & Stoughton,Hardcover,682,2023,2023,2024/04/14,2024/04/04,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2023/09/22,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc,Paperback,652,2006,2005,,2023/09/22,,,read,,,,1,0
37887580,All the Young Dudes,MsKingBean89,"MsKingBean89, MsKingBean89",,"=""""","=""""",0,4.77,Archive of Our Own,ebook,1799,2018,2018,,2024/01/22,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2023/09/22,,,read,,,,1,0
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5,4.55,DAW Books,Hardcover,994,2011,2011,,2023/09/22,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",0,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2023/09/22,,,read,,,,1,0
61215372,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.50,William Morrow,Kindle Edition,448,2022,1954,,2023/09/22,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.61,Tor Books,Hardcover,1248,2017,2017,,2023/09/22,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",0,4.58,Tor Books,Hardcover,1232,2020,2020,,2023/09/22,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.56,Tor Books,Hardcover,572,2008,2008,,2023/09/22,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.66,Tor Books,Hardcover,1007,2010,2010,,2023/09/22,,,read,,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",0,4.76,Tor Books,Hardcover,1088,2014,2014,,2023/09/22,,,read,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.49,Tor Books,Hardcover,541,2006,2006,,2023/09/22,,,read,,,,1,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",0,4.54,Del Rey,Hardcover,525,2016,2016,,2023/09/22,,,read,,,,1,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",0,4.49,Del Rey,ebook,466,2015,2015,,2023/09/22,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,476,2021,2021,,2023/09/22,,,read,,,,1,0
61886,"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0007133618""","=""9780007133611""",0,4.18,Voyager,Paperback,490,2003,2001,,2025/10/20,to-read,to-read (#19),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2025/10/20,2025/07/09,,,read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,272,2020,2020,,2025/04/02,,,read,,,,1,0
41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,"=""""","=""""",0,4.44,Amazon Digital Services,Kindle Edition,651,2019,2019,2025/07/30,2024/12/04,,,read,,,,1,0
28374963,Zeitentod (Die fünf Tore 5 Das Finale - Teil 1),Anthony Horowitz,"Horowitz, Anthony",,"=""""","=""""",0,4.30,Loewe Verlag,Kindle Edition,480,2015,,,2023/09/22,,,read,,,,1,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",0,3.82,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,,2025/07/09,to-read,to-read (#18),to-read,,,,0,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",0,4.17,Doubleday,Hardcover,352,2023,2023,,2025/07/09,to-read,to-read (#17),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.17,Viking,Hardcover,487,2011,2011,,2025/03/12,currently-reading,currently-reading (#3),currently-reading,,,,1,0
60880820,The Shards,Bret Easton Ellis,"Ellis, Bret Easton",,"=""059353560X""","=""9780593535608""",0,4.00,Alfred A. Knopf,Hardcover,608,2023,2023,,2025/07/09,to-read,to-read (#16),to-read,,,,0,0
59900070,Stay True,Hua Hsu,"Hsu, Hua",,"=""0385547773""","=""9780385547772""",0,4.00,Doubleday,Hardcover,208,2022,2022,,2025/06/05,to-read,to-read (#15),to-read,,,,0,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",0,4.21,Red Tower Books,Hardcover,544,2025,2025,,2025/05/25,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",0,4.36,Entangled: Red Tower Books,Hardcover,640,2023,2023,2025/05/25,2025/04/02,,,read,,,,1,0
39099907,The Last of the Stanfields,Marc Levy,"Levy, Marc",Daniel Wasserman,"=""1503959066""","=""9781503959064""",0,3.99,Amazon Crossing,Kindle Edition,362,2019,2017,,2025/04/06,to-read,to-read (#14),to-read,,,,0,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.25,Small Beer Press,ebook,281,2010,2002,,2024/10/18,,,read,,,,1,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.27,Knopf,ebook,368,2019,2019,,2024/11/24,,,read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2025/03/12,,,read,,,,1,0
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,"=""0345341848""","=""9780345341846""",0,3.73,Ballantine,Mass Market Paperback,180,1987,1986,,2025/02/25,to-read,to-read (#13),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.12,Knopf,Hardcover,416,2022,2022,2025/02/25,2025/01/15,,,read,,,,1,0
42267952,"Into the Labyrinth (Mage Errant, #1)",John Bierce,"Bierce, John",,"=""""","=""""",0,4.17,,Kindle Edition,216,2018,2018,,2025/02/12,to-read,to-read (#12),to-read,,,,0,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.00,William Morrow,Kindle Edition,872,2015,2015,,2025/01/15,to-read,to-read (#11),to-read,,,,0,0
203578847,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250319188""","=""9781250319180""",0,4.38,Tor Books,Hardcover,1344,2024,2024,2025/01/06,2024/09/27,,,read,,,,1,0
7234685,Understand,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.12,BBC Radio 7,Audiobook,46,2006,,,2024/11/24,,,read,,,,1,0
530415,The Art of Doing Science and Engineering: Learning to Learn,Richard Hamming,"Hamming, Richard",,"=""9056995014""","=""9789056995010""",0,4.18,CRC Press,Paperback,376,1997,1996,,2025/01/05,to-read,to-read (#10),to-read,,,,0,0
